employee_id,employee_name,designation,experience_years,salary,hire_date,factory_id,shift_id
1,"Ira Mane","Plant Manager",16,121357.00,2010-04-10,1,1
2,"Jai Sankar","Plant Manager",20,128958.00,2006-05-07,2,1
3,"Yahvi Mitter","Plant Manager",21,128605.00,2005-08-06,3,1
4,"Warhi Butala","Plant Manager",20,128672.00,2006-08-28,4,1
5,"Vasatika Bhatt","Plant Manager",17,122049.00,2009-12-27,5,1
6,"Ucchal Roy",Operator,4,27923.00,2022-02-05,1,3
7,"Warjas Garg",Operator,0,26323.00,2026-11-13,1,2
8,"Hema Dixit",Operator,3,27114.00,2023-02-21,1,1
9,"Dhruv Sarraf",Operator,4,28585.00,2022-08-12,1,1
10,"Pranav Pall",Operator,9,28294.00,2017-11-07,1,3
11,"Yash Parikh",Operator,12,32251.00,2014-01-14,1,1
12,"Manbir Patla",Operator,4,25442.00,2022-07-06,1,1
13,"Om Bhakta",Operator,0,25677.00,2026-07-16,1,1
14,"Harita Batra",Operator,5,27584.00,2021-03-18,1,2
15,"Ayaan Luthra",Operator,3,27076.00,2023-04-25,1,2
16,"Anjali Oak",Operator,15,33287.00,2011-07-11,1,1
17,"Jackson Seshadri",Operator,9,30283.00,2017-05-07,1,1
18,"Aadi Samra",Operator,1,27142.00,2025-06-16,1,1
19,"Samar Rege",Operator,5,29376.00,2021-12-01,1,1
20,"Oeshi Babu",Operator,8,27623.00,2018-11-03,1,3
21,"Ayush Tata",Operator,10,28529.00,2016-11-05,1,1
22,"Vritti Nath",Operator,11,32412.00,2015-07-16,1,1
23,"Omkaar Roy",Operator,6,28818.00,2020-10-11,1,2
24,"Lakshit Hayre",Operator,12,31199.00,2014-03-03,1,3
25,"Ekta Bhavsar",Operator,12,32987.00,2014-11-18,1,2
26,"Avni Patel",Operator,11,31827.00,2015-08-21,1,2
27,"Udyati Garg",Operator,10,31076.00,2016-09-27,1,1
28,"Falak Tank",Operator,2,25665.00,2024-01-11,1,1
29,"Harita Tara",Operator,13,31678.00,2013-04-08,1,2
30,"Nimrat Setty",Operator,4,25880.00,2022-03-03,1,1
31,"Balendra Sur",Operator,15,31015.00,2011-06-07,1,2
32,"Advik Barad",Operator,6,29148.00,2020-04-21,1,2
33,"Harrison Kaur",Operator,12,31302.00,2014-09-09,1,3
34,"Sachi Ghose",Operator,13,31607.00,2013-06-20,1,1
35,"Qasim Raja",Operator,3,25254.00,2023-02-12,1,2
36,"Tanvi Sama",Operator,3,26052.00,2023-07-22,1,1
